COD_INDICADOR;COD_UNIDAD;COD_AREA;COD_SEC_ECO;COD_NORMA;COD_HITO;NOMBRE_ACTIVIDAD;PRODUCTO ESPERADO;UNIDAD DE MEDIDA;CMI;CLASIFICADOR RELACIONADO;CODCLASIFICADOR;NOMCLASIFICADOR;COD_ACTIVIDADPADRE;COD_PERSONAL;COD_FUNCION;ACTIVIDAD_DIRECTA_APOYO(DIRECTA=1 APOYO=0);PLAN_MENSUAL_UNICA(MENSUAL=1 UNICA=0);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;ENE_E;FEB_E;MAR_E;ABR_E;MAY_E;JUN_E;JUL_E;AGO_E;SEP_E;OCT_E;NOV_E;DIC_E
110;829;39;28;;;RSC-TCP-CSP-00046 IMPORT EXPORT LAS LOMAS LTDA  ;Servicio ejecutado;Bs;SI;;2118;Cli;11008;347;;1;1;0;0;0;0;5570.78;0;0;13415.4;0;0;0;0;;;;;;;;;;;;
110;829;39;32;;;RSC-TCP-CSP-00047 INDUSTRIA DE FRENOS Y EMBRAGUES FRICCION S.R.L.  ;Servicio ejecutado;Bs;SI;;2081;Cli;11008;347;;1;1;0;0;0;0;4178.09;0;0;13415.4;0;0;0;0;;;;;;;;;;;;
110;829;39;28;;;RSC-TCP-CSP-00053 SOBOCE (Ready Mix) Planta Santa Cruz  ;Servicio ejecutado;Bs;SI;;2519;Cli;11008;347;;1;1;0;0;13154.4;0;0;0;0;0;0;0;4178.09;0;;;;;;;;;;;;
110;829;39;33;;;RSC-TCP-CSP-00056 CIA. INDUSTRIAL COMERCIAL HNOS. VICENTE S.R.L  ;Servicio ejecutado;Bs;SI;;2042;Cli;11008;347;;1;1;0;22193.2;0;0;0;0;0;0;0;0;8356.18;0;;;;;;;;;;;;
110;829;39;28;;;RSC-TCP-CSP-00057 INVERSIONES SUCRE S.A.  ;Servicio ejecutado;Bs;SI;;2104;Cli;11008;347;;1;1;0;29082.36;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
110;829;39;33;;;RSC-TCP-CSP-00058 EMBOTELLADORAS BOLIVIANAS UNIDAS S.A. (EMBOL S.A.) - PLANTA SANTA CRUZ  ;Servicio ejecutado;Bs;SI;;2065;Cli;11008;347;;1;1;0;0;0;0;0;0;0;0;0;28459.44;0;0;;;;;;;;;;;;
110;829;39;28;;;RSC-TCP-CSP-00059 TIGRE S.A  ;Servicio ejecutado;Bs;SI;;2165;Cli;11008;347;;1;1;0;0;0;0;0;0;0;0;0;0;40075.68;0;;;;;;;;;;;;
110;829;39;28;;;RSC-TCP-CSP-00060 SOCIEDAD BOLIVIANA DE CEMENTO S.A.  - PLANTA WARNES  (SOBOCE S.A.)  ;Servicio ejecutado;Bs;SI;;2157;Cli;11008;347;;1;1;0;0;0;0;0;0;14720.4;0;0;0;0;0;;;;;;;;;;;;
110;829;39;28;;;RSC-TCP-CSP-00061 ITACAMBA CEMENTO S.A.  ;Servicio ejecutado;Bs;SI;;2111;Cli;11008;347;;1;1;0;0;0;0;0;0;23803.2;0;0;0;0;0;;;;;;;;;;;;
110;829;39;33;;;RSC-TCP-CSP-00062 INGENIO AZUCARERO ROBERTO BARBERY PAZ S.A. (UNAGRO)  ;Servicio ejecutado;Bs;SI;;2173;Cli;11008;347;;1;1;0;0;0;0;0;0;0;0;0;28459.44;0;0;;;;;;;;;;;;
